nombre,responsable,numDias
pobVirt,resp,135
ratones
1,2022-06-23,11,FEMENINO,29,Description,true,true
familias
familiaPoligamica
62,2020-11-11,17,MASCULINO,18,Description,false,true
68,2020-11-11,10,FEMENINO,13,Description,true,false
67,2020-11-11,13,FEMENINO,29,Description,true,false
64,2020-11-11,14,FEMENINO,12,Description,true,false
hijos
107,2021-02-09,15,MASCULINO,27,Description,false,false
109,2021-02-09,16,FEMENINO,16,Description,true,false
108,2021-02-09,13,FEMENINO,10,Description,true,true
104,2021-02-09,12,MASCULINO,19,Description,false,false
106,2021-02-09,15,MASCULINO,14,Description,false,true
110,2021-02-09,17,FEMENINO,13,Description,true,true
105,2021-02-09,18,FEMENINO,25,Description,true,true
familiaPoligamica
30,2020-06-28,19,MASCULINO,28,Description,false,true
29,2017-10-29,11,FEMENINO,28,Description,false,false
hijos
72,2020-12-26,10,FEMENINO,21,Description,true,false
112,2021-02-09,11,MASCULINO,10,Description,false,false
33,2020-11-11,12,MASCULINO,21,Description,false,false
116,2021-02-09,12,MASCULINO,22,Description,false,false
117,2021-02-09,18,FEMENINO,10,Description,true,false
71,2020-12-26,12,FEMENINO,25,Description,true,false
113,2021-02-09,15,FEMENINO,12,Description,true,false
114,2021-02-09,16,MASCULINO,12,Description,false,false
31,2020-11-11,16,MASCULINO,21,Description,false,false
73,2020-12-26,14,MASCULINO,19,Description,false,false
115,2021-02-09,10,MASCULINO,25,Description,false,false
111,2021-02-09,16,FEMENINO,20,Description,true,false
32,2020-11-11,12,FEMENINO,27,Description,true,false
familiaNormal
48,2020-11-11,15,MASCULINO,10,Description,false,false
55,2020-11-11,14,FEMENINO,12,Description,false,false
hijos
118,2021-02-09,16,MASCULINO,25,Description,false,false
120,2021-02-09,11,FEMENINO,21,Description,false,false
119,2021-02-09,12,FEMENINO,21,Description,false,false
121,2021-02-09,17,MASCULINO,25,Description,false,false
familiaPoligamica
3,2021-08-31,12,MASCULINO,29,Description,false,true
8,2021-07-04,17,FEMENINO,29,Description,true,false
7,2018-11-02,18,FEMENINO,18,Description,false,true
4,2020-05-21,12,FEMENINO,26,Description,false,false
hijos
122,2021-02-09,19,MASCULINO,27,Description,false,false
70,2020-11-11,12,FEMENINO,20,Description,true,false
132,2021-02-09,16,MASCULINO,19,Description,false,false
93,2020-12-26,12,FEMENINO,27,Description,true,true
65,2020-11-11,17,MASCULINO,16,Description,false,false
131,2021-02-09,11,FEMENINO,23,Description,true,false
129,2021-02-09,15,MASCULINO,18,Description,false,false
64,2020-11-11,14,FEMENINO,12,Description,true,false
66,2020-11-11,11,MASCULINO,26,Description,false,false
91,2020-12-26,12,FEMENINO,22,Description,true,false
58,2020-11-11,11,FEMENINO,29,Description,true,false
127,2021-02-09,14,MASCULINO,16,Description,false,true
126,2021-02-09,17,MASCULINO,11,Description,false,true
62,2020-11-11,17,MASCULINO,18,Description,false,true
69,2020-11-11,13,FEMENINO,13,Description,true,false
97,2020-12-26,13,MASCULINO,12,Description,false,true
130,2021-02-09,16,MASCULINO,27,Description,false,false
67,2020-11-11,13,FEMENINO,29,Description,true,false
102,2020-12-26,11,MASCULINO,19,Description,false,false
57,2020-11-11,10,MASCULINO,12,Description,false,false
59,2020-11-11,10,MASCULINO,28,Description,false,false
103,2020-12-26,14,MASCULINO,10,Description,false,false
124,2021-02-09,10,FEMENINO,19,Description,true,false
61,2020-11-11,11,FEMENINO,25,Description,true,true
92,2020-12-26,18,MASCULINO,24,Description,false,false
94,2020-12-26,17,FEMENINO,28,Description,true,true
95,2020-12-26,19,FEMENINO,24,Description,true,true
68,2020-11-11,10,FEMENINO,13,Description,true,false
99,2020-12-26,13,FEMENINO,18,Description,true,true
128,2021-02-09,12,MASCULINO,14,Description,false,false
98,2020-12-26,12,MASCULINO,21,Description,false,false
60,2020-11-11,19,FEMENINO,12,Description,true,false
123,2021-02-09,15,FEMENINO,23,Description,true,true
101,2020-12-26,18,FEMENINO,21,Description,true,false
96,2020-12-26,14,MASCULINO,19,Description,false,true
133,2021-02-09,14,MASCULINO,21,Description,false,false
125,2021-02-09,17,FEMENINO,20,Description,true,true
63,2020-11-11,11,FEMENINO,19,Description,true,false
100,2020-12-26,12,MASCULINO,13,Description,false,false
